销售单号,开单日期,经销商编码,经销商名称,SKU编码,商品名称,数量,单价,金额,折扣率,实收金额,账期天数,到期日,批次类型,备注
SO-20260512-024,2026-05-12,DE-005,上海晨光文具股份有限公司（九木杂物社）,BLIND-01,BabyCat随机单盒（盲盒早鸟）,80,89,7120,0.97,6906.4,60,2026-07-11,首单试产,
SO-20260512-025,2026-05-12,DE-005,上海晨光文具股份有限公司（九木杂物社）,ENDBOX,BabyCat端盒（6只不重复·常规款全套）,40,546,21840,0.97,21184.8,60,2026-07-11,首单试产,
SO-20260608-026,2026-06-08,DE-005,上海晨光文具股份有限公司（九木杂物社）,BLIND-02,BabyCat随机单盒（盲盒常规）,250,95,23750,0.97,23037.5,60,2026-08-07,快反追单,
SO-20260608-027,2026-06-08,DE-005,上海晨光文具股份有限公司（九木杂物社）,OPEN-BC-03,BabyCat明盒·笨笨博士（布偶猫）,50,100,5000,0.97,4850.0,60,2026-08-07,快反追单,
SO-20260505-028,2026-05-05,DE-006,沃尔玛（中国）投资有限公司,BLIND-02,BabyCat随机单盒（盲盒常规）,200,95,19000,0.95,18050.0,60,2026-07-04,首单试产,
SO-20260505-029,2026-05-05,DE-006,沃尔玛（中国）投资有限公司,ENDBOX,BabyCat端盒（6只不重复·常规款全套）,100,546,54600,0.95,51870.0,60,2026-07-04,首单试产,
SO-20260601-030,2026-06-01,DE-006,沃尔玛（中国）投资有限公司,BLIND-02,BabyCat随机单盒（盲盒常规）,350,95,33250,0.95,31587.5,60,2026-07-31,快反追单,
SO-20260518-031,2026-05-18,DE-007,抖音电商（官方旗舰店）,BLIND-02,BabyCat随机单盒（盲盒常规）,300,95,28500,1.0,28500.0,15,2026-06-02,平台铺货,
SO-20260518-032,2026-05-18,DE-007,抖音电商（官方旗舰店）,ALLIN,BabyCat ALL-IN套装（6常规+2隐藏）,50,680,34000,1.0,34000.0,15,2026-06-02,平台铺货,
SO-20260620-033,2026-06-20,DE-007,抖音电商（官方旗舰店）,BLIND-02,BabyCat随机单盒（盲盒常规）,500,95,47500,1.0,47500.0,15,2026-07-05,快反追单,
SO-20260620-034,2026-06-20,DE-007,抖音电商（官方旗舰店）,ACC-04,BabyCat摇摇乐钥匙扣·折耳骑士,400,29,11600,1.0,11600.0,15,2026-07-05,快反追单,
SO-20260601-035,2026-06-01,DE-008,TikTok Shop（跨境）,BLIND-02,BabyCat随机单盒（盲盒常规）,200,95,19000,1.0,19000.0,30,2026-07-01,海外铺货,TikTok Shop US
SO-20260601-036,2026-06-01,DE-008,TikTok Shop（跨境）,ALLIN,BabyCat ALL-IN套装（6常规+2隐藏）,30,680,20400,1.0,20400.0,30,2026-07-01,海外铺货,
SO-20260701-037,2026-07-01,DE-008,TikTok Shop（跨境）,BLIND-02,BabyCat随机单盒（盲盒常规）,350,95,33250,1.0,33250.0,30,2026-07-31,快反追单,TikTok Shop US
SO-20260525-038,2026-05-25,DE-009,广州潮玩前线贸易有限公司,BLIND-02,BabyCat随机单盒（盲盒常规）,120,95,11400,0.97,11058.0,30,2026-06-24,首单试产,
SO-20260525-039,2026-05-25,DE-009,广州潮玩前线贸易有限公司,ENDBOX,BabyCat端盒（6只不重复·常规款全套）,50,546,27300,0.97,26481.0,30,2026-06-24,首单试产,
SO-20260625-040,2026-06-25,DE-009,广州潮玩前线贸易有限公司,BLIND-02,BabyCat随机单盒（盲盒常规）,300,95,28500,0.97,27645.0,30,2026-07-25,快反追单,
SO-20260528-041,2026-05-28,DE-010,义乌萌物集贸易有限公司,BLIND-02,BabyCat随机单盒（盲盒常规）,100,95,9500,0.97,9215.0,30,2026-06-27,首单试产,
SO-20260628-042,2026-06-28,DE-010,义乌萌物集贸易有限公司,BLIND-02,BabyCat随机单盒（盲盒常规）,250,95,23750,0.97,23037.5,30,2026-07-28,快反追单,
SO-20260628-043,2026-06-28,DE-010,义乌萌物集贸易有限公司,ACC-06,BabyCat贴纸套装,500,19,9500,0.97,9215.0,30,2026-07-28,快反追单,
SO-20260720-044,2026-07-20,DE-009,广州潮玩前线贸易有限公司,BLIND-02,BabyCat随机单盒（盲盒常规）,130,95,12350,0.97,11979.5,30,2026-08-19,二次追单,
SO-20251226-045,2025-12-26,DE-009,广州潮玩前线贸易有限公司,LIMIT-01,BabyCat冬季吊卡（限量1000个·济南快闪首发）,342,129,44118,1.0,44118.0,30,2026-01-25,快闪店零售,济南快闪店·冬季吊卡首发（场景13:限量1000，快闪售342个）
